1|1|I GUDs namn, Den Barmhärtigaste, Den Nådigaste.
1|2|Prisad vare GUD, Universums Herre.
1|3|Den Barmhärtigaste, Den Nådigaste.
1|4|Domedagens Härskare.
1|5|Endast Dig dyrkar vi. Endast Dig ber vi om hjälp.
1|6|Vägled oss på den rätta vägen;
1|7|Vägen som följs av de Du välsignat; ej på vägen av de som förtjänat vrede, ej heller av de som avviker. 
2|1|A.L.M.
2|2|Denna skrift är ofelbar; en ledstjärna för de rättfärdiga;
2|3|som tror på vad de inte sett, iakttager Kontaktbönerna (Salat), och från våra gåvor till dem, ger de till välgörenhet.
2|4|Och de tror på det som uppenbarats för dig, och på det som uppenbarats före dig, och vad gäller Livet Efter Detta är de helt övertygade.
2|5|Dessa är vägledda av sin Herre; dessa är vinnarna.
2|6|Vad gäller de som inte tror, är det sak samma för dem; vare sig ni varnar dem eller ej, de kan inte tro.
2|7|GUD förseglar deras sinnen och deras hörsel, och deras ögon beslöjas. De har ådragit sig ett plågsamt straff.
2|8|Sedan har vi de som säger, "Vi tror på GUD och på den Sista Dagen," fast de inte tror.
2|9|I deras försök att lura GUD och de som tror, lurar de endast sig själva, utan att inse det.
2|10|I deras sinnen finns en sjukdom. Följaktligen förstärker GUD deras sjukdom. De har ådragit sig ett smärtsamt straff för sitt ljugande.
2|11|När de uppmanas, "Begå inte ondska," säger de, "Men vi är rättfärdiga!"
2|12|I själva verket, är de människor som begår ondska, men de inser inte det.
2|13|När de uppmanas, "Tro som människorna som trodde," säger de, "Ska vi tro som dårarna gör?" I själva verket är det dem som är dårar, men de vet inte det.
2|14|När de möter de troende, säger de, "Vi tror," men ensamma med sina djävlar, säger de, "Vi är med er; vi bara drev med dem."
2|15|GUD förlöjligar dem, och för dem bakom ljuset i deras överträdelser, famlande.
2|16|Det är dessa som accepterat avvikandet på bekostnad av vägledningen. Sådan verksamhet lyckas aldrig, ej heller får de någon vägledning.
2|17|Deras exempel kan jämföras med dem som tänder en eld, och därefter, precis när den börjar sprida ljus omkring dem, tar GUD bort deras ljus och lämnar dem i mörker, oförmögna att se.
2|18|Döva, stumma, och blinda; de misslyckas med att återvända.
2|19|Ett annat exempel: ett hällregn från skyn i vilket det finns mörker, blixtar och dunder. De stoppar fingrarna i sina öron för att undvika döden. GUD är fullt medveten om de som inte tror.
2|20|Blixten rycker nästan bort deras syn. När den lyser för dem rör de sig framåt, och när det blir mörkt, står de stilla. Om GUD vill kan Han avlägsna deras hörsel och deras syn. GUD är Allsmäktig.
2|21|O människor, dyrka endast er Herre Den som skapade er och de som kom innan er - så att ni må bli räddade.
2|22|Den som gjorde Jorden beboelig för er, och skyn en struktur. Han sänder ner vatten från skyn för att frambringa alla sorters frukter för er försörjning. Ni ska inte sätta upp idoler för att utmana GUD, nu när ni vet.
2|23|Om ni har något tvivel beträffande det vi uppenbarat för vår tjänare, producera då en sura som dessa, och kalla på era egna vittnen mot GUD, om ni talar sanning.
2|24|Om ni inte kan det - och det kan ni aldrig - frukta då Helveteselden, vars bränsle består av människor och stenar; den inväntar de som inte tror.
2|25|Ge goda nyheter till de som tror och som för ett rättfärdigt liv, om att de kommer ha trädgårdar med flytande bäckar. När de förses med frukter att äta däri, kommer de att säga, "Detta är vad som gavs till oss tidigare." På så sätt får de allegoriska beskrivningar. De kommer att ha rena makar däri, och de vistas däri för evigt.
2|26|GUD drar sig inte för att skildra någon liknelse, från minsta mygga eller större. Vad de som tror beträffar, vet de att det är sanningen från deras Herre. Vad gäller de som inte tror, säger de, "Vad menade GUD med en sådan liknelse?" Han vilseleder många därmed, och vägleder många därmed. Men Han vilseleder bara de onda därmed,
2|27|som kränker GUDs förbund efter att ha lovat upprätthålla det, åtskiljer det som GUD sagt ska vara förenat, och begår ondska. De tillhör förlorarna.
2|28|Hur kan ni tvivla på GUD när ni var döda och Han gav er liv, varpå Han placerar er i döden för att sedan åter igen föra er tillbaka till liv, därefter återvänder ni slutligen till Honom?
2|29|Han är Den som skapat allting på jorden för er, och som sedan vände Sig mot skyn och fulländade sju universum däri, och Han är fullt medveten om allting.
2|30|Minns att er Herre sa till änglarna, "Jag placerar en representant (en temporär gud) på Jorden." De sa, "Kommer du att placera en som kommer att sprida ondska och utgjuta blod däri, trots att vi sjunger Dina lovord, prisar Dig, och upprätthåller Din absoluta auktoritet?" Han sa, "Jag vet vad ni inte vet."
2|31|Han lärde Adam alla namn och presenterade dem sedan för änglarna, och sa, "Ge Mig namnen på dessa, om ni har rätt."
2|32|De sa, "Prisad vare Du, vi har ingen kunskap utöver det som Du har lärt oss. Du är den Allvetande, den Visaste.
2|33|Han sa, "O Adam, tala om för dem namnen på dessa." När han berättade för dem vad de hette sa Han, "Sa Jag inte till er att Jag känner till himlarnas och jordens hemligheter? Jag vet vad ni tillkännager och vad ni döljer."
2|34|När vi sa till änglarna, "Prostrera inför Adam," prostrerade alla förutom Satan; han vägrade, var för arrogant, och icke troende.
2|35|Vi sa, "O Adam, lev med din fru i Paradiset och ät rikligt därav som ni behagar, men närma er inte detta träd, så att ni inte syndar."
2|36|Men djävulen lurade dem, och orsakade deras vräkning därifrån. Vi sa, "Gå ner som fiender till varandra. På Jorden ska er hemvist och ert uppehälle vara för en tid."
2|37|Sedan fick Adam ord från sin Herre, med vilka Han räddade honom. Han är Räddaren, Barmhärtigast.
2|38|Vi sa, "Gå ner därifrån, allihop. När vägledning kommer till er från Mig, kommer de som följer Min vägledning inte att ha någon fruktan, ej heller kommer de att sörja.
2|39|"Vad gäller de som inte tror och som förkastar våra uppenbarelser, kommer de att tillhöra dem som har sin boning i Helvetet, vari de vistas för evigt."
2|40|O Israels Barn, minns Min hjälp som Jag gav er, och uppfyll er del av förbundet så att Jag uppfyller Min del av förbundet, och vörda Mig.
2|41|Ni ska tro på det Jag uppenbarat häri, som bekräftar det ni har; var inte de första att förkasta det. Byt inte ut Mina uppenbarelser för ett ringa pris, och rätta er efter Mig.
2|42|Dölj inte sanningen med lögn, ej heller ska ni medvetet dölja sanningen.
2|43|Ni ska iaktta Kontaktbönerna (Salat), ge den obligatoriska välgörenheten (Zakat), och buga er tillsammans med de som bugar sig.
2|44|Uppmanar ni människorna till rättfärdighet, medan ni glömmer er själva, trots att ni läser skriften? Förstår ni inte?
2|45|Ni ska söka hjälp genom ihärdighet och genom Kontaktbönerna (Salat). Det är verkligen svårt, men inte för de vördnadsfulla,
2|46|som tror att de kommer möta sin Herre; att de slutligen kommer att återvända till Honom.
2|47|O Israels Barn, minns Min hjälp som Jag gav er, och att Jag välsignade er mer än något annat folk.
2|48|Tänk på den dagen då ingen själ kommer att kunna hjälpa någon annan själ, då ingen medling kommer att godtagas, då ingen lösensumma kan betalas, och då ingen kan få hjälp.
2|49|Minns att vi räddade er från Faraos folk, som tillfogade er den värsta förföljelsen, slog ihjäl era söner och skonade era döttrar. Det var ett krävande test från er Herre.
2|50|Minns att vi delade på havet för er; vi räddade er och dränkte Faraos folk i er åsyn.
